s_academica,c_espacios,Diagnostico
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Exigencia del curso,No me alcanza tiempo,Saludable
Exigencia del curso,Bailar,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Carga de horario,No me alcanza tiempo,Saludable
Carga de horario,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Bailar,Saludable
Carga de horario,Jugar videojuegos,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Carga de horario,Bailar,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,Jugar videojuegos,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad para concentrarte,Bailar,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Carga de horario,Jugar videojuegos,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Dificultad con el material de estudio,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Carga de horario,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Exigencia del curso,Bailar,Saludable
Carga de horario,No me alcanza tiempo,No Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Bailar,Saludable
Dificultad con el material de estudio,Ausencia de lugares para sentirte mejor,Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dificultad con el material de estudio,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Dificultad con el material de estudio,Jugar videojuegos,Saludable
Exigencia del curso,Bailar,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar videojuegos,Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Bailar,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Bailar,Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Dificultad para concentrarte,Bailar,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Bailar,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Bailar,Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Carga de horario,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,Bailar,Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Exigencia del curso,Bailar,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Carga de horario,Bailar,Saludable
Dificultad con el material de estudio,Jugar videojuegos,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad con el material de estudio,Jugar videojuegos,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Exigencia del curso,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Bailar,Saludable
Dejas a última hora las tareas,Bailar,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,Bailar,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dificultad con el material de estudio,Jugar videojuegos,Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Carga de horario,Jugar videojuegos,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,Bailar,Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Exigencia del curso,Jugar algún deporte,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Dificultad con el material de estudio,Jugar videojuegos,No Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Exigencia del curso,Bailar,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Carga de horario,Bailar,Saludable
Dificultad para concentrarte,Bailar,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,Jugar videojuegos,No Saludable
Dificultad para concentrarte,Bailar,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dejas a última hora las tareas,Bailar,No Saludable
Exigencia del curso,Bailar,Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad con el material de estudio,Jugar videojuegos,Saludable
Dificultad con el material de estudio,Bailar,No Saludable
Carga de horario,Bailar,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Jugar algún deporte,No Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Dificultad para concentrarte,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Exigencia del curso,Bailar,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Dificultad para concentrarte,Bailar,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,No Saludable
Carga de horario,Bailar,Saludable
Dificultad con el material de estudio,Jugar videojuegos,No Saludable
Dejas a última hora las tareas,Jugar videojuegos,Saludable
Carga de horario,No me alcanza tiempo,Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Exigencia del curso,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,No Saludable
Dificultad para concentrarte,Bailar,No Saludable
Carga de horario,Jugar videojuegos,Saludable
Dejas a última hora las tareas,Jugar algún deporte,No Saludable
Carga de horario,Jugar algún deporte,Saludable
Exigencia del curso,Jugar videojuegos,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Dificultad con el material de estudio,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dejas a última hora las tareas,No me alcanza tiempo,No Saludable
Dificultad con el material de estudio,Jugar algún deporte,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Carga de horario,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Ausencia de lugares para sentirte mejor,No Saludable
Carga de horario,No me alcanza tiempo,No Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Exigencia del curso,Jugar videojuegos,No Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Carga de horario,Jugar algún deporte,Saludable
Carga de horario,Jugar videojuegos,Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Dificultad para concentrarte,Jugar videojuegos,No Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Bailar,No Saludable
Dificultad para concentrarte,No me alcanza tiempo,No Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Bailar,Saludable
Carga de horario,Jugar videojuegos,Saludable
Exigencia del curso,Bailar,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Exigencia del curso,Bailar,Saludable
Dificultad para concentrarte,Bailar,Saludable
Carga de horario,Bailar,Saludable
Exigencia del curso,Bailar,Saludable
Carga de horario,Jugar algún deporte,Saludable
Carga de horario,Bailar,Saludable
Exigencia del curso,Bailar,Saludable
Dificultad para concentrarte,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Carga de horario,No me alcanza tiempo,Saludable
Carga de horario,Ausencia de lugares para sentirte mejor,Saludable
Dificultad para concentrarte,Bailar,Saludable
Carga de horario,Jugar videojuegos,Saludable
Carga de horario,Jugar algún deporte,Saludable
Carga de horario,Jugar algún deporte,Saludable
Exigencia del curso,Ausencia de lugares para sentirte mejor,Saludable
Exigencia del curso,Bailar,Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Carga de horario,Bailar,Saludable
Carga de horario,Jugar videojuegos,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Carga de horario,Jugar videojuegos,Saludable
Dificultad para concentrarte,Bailar,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
Dejas a última hora las tareas,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar algún deporte,Saludable
Dificultad con el material de estudio,Jugar videojuegos,Saludable
Dificultad para concentrarte,Jugar videojuegos,Saludable
Exigencia del curso,Jugar algún deporte,Saludable
